0	Generic	NotDef	NOTDEF
1	Proportional	Latin	uni0020
2	Proportional	Latin	uni0021
3	Proportional	Latin	uni0022
4	Proportional	Latin	uni0023
5	Proportional	Latin	uni0024
6	Proportional	Latin	uni0025
7	Proportional	Latin	uni0026
8	Proportional	Latin	uni0027
9	Proportional	Latin	uni0028
10	Proportional	Latin	uni0029
11	Proportional	Latin	uni002A
12	Proportional	Latin	uni002B
13	Proportional	Latin	uni002C
14	Proportional	Latin	uni002D
15	Proportional	Latin	uni002E
16	Proportional	Latin	uni002F
17	Proportional	Latin	uni0030
18	Proportional	Latin	uni0031
19	Proportional	Latin	uni0032
20	Proportional	Latin	uni0033
21	Proportional	Latin	uni0034
22	Proportional	Latin	uni0035
23	Proportional	Latin	uni0036
24	Proportional	Latin	uni0037
25	Proportional	Latin	uni0038
26	Proportional	Latin	uni0039
27	Proportional	Latin	uni003A
28	Proportional	Latin	uni003B
29	Proportional	Latin	uni003C
30	Proportional	Latin	uni003D
31	Proportional	Latin	uni003E
32	Proportional	Latin	uni003F
33	Proportional	Latin	uni0040
34	Proportional	Latin	uni0041
35	Proportional	Latin	uni0042
36	Proportional	Latin	uni0043
37	Proportional	Latin	uni0044
38	Proportional	Latin	uni0045
39	Proportional	Latin	uni0046
40	Proportional	Latin	uni0047
41	Proportional	Latin	uni0048
42	Proportional	Latin	uni0049
43	Proportional	Latin	uni004A
44	Proportional	Latin	uni004B
45	Proportional	Latin	uni004C
46	Proportional	Latin	uni004D
47	Proportional	Latin	uni004E
48	Proportional	Latin	uni004F
49	Proportional	Latin	uni0050
50	Proportional	Latin	uni0051
51	Proportional	Latin	uni0052
52	Proportional	Latin	uni0053
53	Proportional	Latin	uni0054
54	Proportional	Latin	uni0055
55	Proportional	Latin	uni0056
56	Proportional	Latin	uni0057
57	Proportional	Latin	uni0058
58	Proportional	Latin	uni0059
59	Proportional	Latin	uni005A
60	Proportional	Latin	uni005B
61	Proportional	Latin	uni005C
62	Proportional	Latin	uni005D
63	Proportional	Latin	uni005E
64	Proportional	Latin	uni005F
65	Proportional	Latin	uni0060
66	Proportional	Latin	uni0061
67	Proportional	Latin	uni0062
68	Proportional	Latin	uni0063
69	Proportional	Latin	uni0064
70	Proportional	Latin	uni0065
71	Proportional	Latin	uni0066
72	Proportional	Latin	uni0067
73	Proportional	Latin	uni0068
74	Proportional	Latin	uni0069
75	Proportional	Latin	uni006A
76	Proportional	Latin	uni006B
77	Proportional	Latin	uni006C
78	Proportional	Latin	uni006D
79	Proportional	Latin	uni006E
80	Proportional	Latin	uni006F
81	Proportional	Latin	uni0070
82	Proportional	Latin	uni0071
83	Proportional	Latin	uni0072
84	Proportional	Latin	uni0073
85	Proportional	Latin	uni0074
86	Proportional	Latin	uni0075
87	Proportional	Latin	uni0076
88	Proportional	Latin	uni0077
89	Proportional	Latin	uni0078
90	Proportional	Latin	uni0079
91	Proportional	Latin	uni007A
92	Proportional	Latin	uni007B
93	Proportional	Latin	uni007C
94	Proportional	Latin	uni007D
95	Proportional	Latin	uni007E
96	Proportional	Latin	uni00A2
97	Proportional	Latin	uni00A3
98	Proportional	Latin	uni00A4
99	Proportional	Latin	uni00A5
100	Proportional	Latin	uni00A9
101	Proportional	Latin	uni00AE
102	Proportional	Latin	uni00B0
103	Proportional	Latin	uni00B1
104	Proportional	Latin	uni00B6
105	Proportional	Latin	uni00B7
106	Proportional	Latin	uni00D7
107	Proportional	Latin	uni00F7
108	Proportional	Latin	uni2002
109	Proportional	Latin	uni2003
110	Proportional	Latin	uni2004
111	Proportional	Latin	uni2005
112	Proportional	Latin	uni2006
113	Proportional	Latin	uni2007
114	Proportional	Latin	uni2009
115	Proportional	Latin	uni200A
116	Proportional	Latin	uni2012
117	Proportional	Latin	uni2013
118	Proportional	Latin	uni2014
119	Dingbats	r20	uni2015
120	Proportional	Latin	uni2018
121	Proportional	Latin	uni2019
122	Proportional	Latin	uni201C
123	Proportional	Latin	uni201D
124	Proportional	Latin	uni2020
125	Proportional	Latin	uni2021
126	Proportional	Latin	uni2022
127	Proportional	Latin	uni2023
128	Dingbats	r20	uni2025
129	Proportional	Latin	uni2026
130	Proportional	Latin	uni2032
131	Proportional	Latin	uni2033
132	Dingbats	r20	uni203B
133	Proportional	Latin	uni20A9
134	Proportional	Latin	uni20AC
135	Dingbats	r21	uni2103
136	Dingbats	r21	uni2109
137	Proportional	Latin	uni2122
138	Dingbats	r21	uni2190
139	Dingbats	r21	uni2191
140	Dingbats	r21	uni2192
141	Dingbats	r21	uni2193
142	Dingbats	r21	uni2194
143	Dingbats	r21	uni2195
144	Dingbats	r21	uni2196
145	Dingbats	r21	uni2197
146	Dingbats	r21	uni2198
147	Dingbats	r21	uni2199
148	Proportional	Latin	uni2212
149	Proportional	Latin	uni2260
150	Proportional	Latin	uni2264
151	Proportional	Latin	uni2265
152	Dingbats	r25	uni25A1
153	Dingbats	r25	uni25CB
154	Dingbats	r25	uni25E6
155	Dingbats	r27	uni274C
156	Proportional	Latin	uni2E3A
157	Proportional	Latin	uni2E3B
158	Dingbats	r30	uni3008
159	Dingbats	r30	uni3009
160	Dingbats	r30	uni300A
161	Dingbats	r30	uni300B
162	Dingbats	r30	uni300C
163	Dingbats	r30	uni300D
164	Dingbats	r30	uni300E
165	Dingbats	r30	uni300F
166	Dingbats	r30	uni3010
167	Dingbats	r30	uni3011
168	Dingbats	r30	uni3014
169	Dingbats	r30	uni3015
170	Hangul	Jamo	uni3131
171	Hangul	Jamo	uni3132
172	Hangul	Jamo	uni3133
173	Hangul	Jamo	uni3134
174	Hangul	Jamo	uni3135
175	Hangul	Jamo	uni3136
176	Hangul	Jamo	uni3137
177	Hangul	Jamo	uni3138
178	Hangul	Jamo	uni3139
179	Hangul	Jamo	uni313A
180	Hangul	Jamo	uni313B
181	Hangul	Jamo	uni313C
182	Hangul	Jamo	uni313D
183	Hangul	Jamo	uni313E
184	Hangul	Jamo	uni313F
185	Hangul	Jamo	uni3140
186	Hangul	Jamo	uni3141
187	Hangul	Jamo	uni3142
188	Hangul	Jamo	uni3143
189	Hangul	Jamo	uni3144
190	Hangul	Jamo	uni3145
191	Hangul	Jamo	uni3146
192	Hangul	Jamo	uni3147
193	Hangul	Jamo	uni3148
194	Hangul	Jamo	uni3149
195	Hangul	Jamo	uni314A
196	Hangul	Jamo	uni314B
197	Hangul	Jamo	uni314C
198	Hangul	Jamo	uni314D
199	Hangul	Jamo	uni314E
200	Hangul	Jamo	uni314F
201	Hangul	Jamo	uni3150
202	Hangul	Jamo	uni3151
203	Hangul	Jamo	uni3152
204	Hangul	Jamo	uni3153
205	Hangul	Jamo	uni3154
206	Hangul	Jamo	uni3155
207	Hangul	Jamo	uni3156
208	Hangul	Jamo	uni3157
209	Hangul	Jamo	uni3158
210	Hangul	Jamo	uni3159
211	Hangul	Jamo	uni315A
212	Hangul	Jamo	uni315B
213	Hangul	Jamo	uni315C
214	Hangul	Jamo	uni315D
215	Hangul	Jamo	uni315E
216	Hangul	Jamo	uni315F
217	Hangul	Jamo	uni3160
218	Hangul	Jamo	uni3161
219	Hangul	Jamo	uni3162
220	Hangul	Jamo	uni3163
221	Hangul	rAC	uniAC00
222	Hangul	rAC	uniAC01
223	Hangul	rAC	uniAC04
224	Hangul	rAC	uniAC07
225	Hangul	rAC	uniAC08
226	Hangul	rAC	uniAC09
227	Hangul	rAC	uniAC0A
228	Hangul	rAC	uniAC0B
229	Hangul	rAC	uniAC10
230	Hangul	rAC	uniAC11
231	Hangul	rAC	uniAC12
232	Hangul	rAC	uniAC13
233	Hangul	rAC	uniAC14
234	Hangul	rAC	uniAC15
235	Hangul	rAC	uniAC16
236	Hangul	rAC	uniAC17
237	Hangul	rAC	uniAC19
238	Hangul	rAC	uniAC1A
239	Hangul	rAC	uniAC1B
240	Hangul	rAC	uniAC1C
241	Hangul	rAC	uniAC1D
242	Hangul	rAC	uniAC20
243	Hangul	rAC	uniAC23
244	Hangul	rAC	uniAC24
245	Hangul	rAC	uniAC2C
246	Hangul	rAC	uniAC2D
247	Hangul	rAC	uniAC2F
248	Hangul	rAC	uniAC30
249	Hangul	rAC	uniAC31
250	Hangul	rAC	uniAC38
251	Hangul	rAC	uniAC39
252	Hangul	rAC	uniAC3C
253	Hangul	rAC	uniAC40
254	Hangul	rAC	uniAC4B
255	Hangul	rAC	uniAC4D
256	Hangul	rAC	uniAC54
257	Hangul	rAC	uniAC58
258	Hangul	rAC	uniAC5C
259	Hangul	rAC	uniAC65
260	Hangul	rAC	uniAC70
261	Hangul	rAC	uniAC71
262	Hangul	rAC	uniAC74
263	Hangul	rAC	uniAC77
264	Hangul	rAC	uniAC78
265	Hangul	rAC	uniAC7A
266	Hangul	rAC	uniAC80
267	Hangul	rAC	uniAC81
268	Hangul	rAC	uniAC82
269	Hangul	rAC	uniAC83
270	Hangul	rAC	uniAC84
271	Hangul	rAC	uniAC85
272	Hangul	rAC	uniAC86
273	Hangul	rAC	uniAC89
274	Hangul	rAC	uniAC8A
275	Hangul	rAC	uniAC8B
276	Hangul	rAC	uniAC8C
277	Hangul	rAC	uniAC8D
278	Hangul	rAC	uniAC90
279	Hangul	rAC	uniAC94
280	Hangul	rAC	uniAC9C
281	Hangul	rAC	uniAC9D
282	Hangul	rAC	uniAC9F
283	Hangul	rAC	uniACA0
284	Hangul	rAC	uniACA1
285	Hangul	rAC	uniACA8
286	Hangul	rAC	uniACA9
287	Hangul	rAC	uniACAA
288	Hangul	rAC	uniACAC
289	Hangul	rAC	uniACAF
290	Hangul	rAC	uniACB0
291	Hangul	rAC	uniACB7
292	Hangul	rAC	uniACB8
293	Hangul	rAC	uniACB9
294	Hangul	rAC	uniACBB
295	Hangul	rAC	uniACBC
296	Hangul	rAC	uniACBD
297	Hangul	rAC	uniACBF
298	Hangul	rAC	uniACC1
299	Hangul	rAC	uniACC4
300	Hangul	rAC	uniACC8
301	Hangul	rAC	uniACCC
302	Hangul	rAC	uniACD5
303	Hangul	rAC	uniACD7
304	Hangul	rAC	uniACD8
305	Hangul	rAC	uniACE0
306	Hangul	rAC	uniACE1
307	Hangul	rAC	uniACE4
308	Hangul	rAC	uniACE7
309	Hangul	rAC	uniACE8
310	Hangul	rAC	uniACEA
311	Hangul	rAC	uniACEC
312	Hangul	rAC	uniACEF
313	Hangul	rAC	uniACF0
314	Hangul	rAC	uniACF1
315	Hangul	rAC	uniACF3
316	Hangul	rAC	uniACF5
317	Hangul	rAC	uniACF6
318	Hangul	rAC	uniACF9
319	Hangul	rAC	uniACFC
320	Hangul	rAC	uniACFD
321	Hangul	rAD	uniAD00
322	Hangul	rAD	uniAD04
323	Hangul	rAD	uniAD06
324	Hangul	rAD	uniAD0C
325	Hangul	rAD	uniAD0D
326	Hangul	rAD	uniAD0F
327	Hangul	rAD	uniAD10
328	Hangul	rAD	uniAD11
329	Hangul	rAD	uniAD12
330	Hangul	rAD	uniAD18
331	Hangul	rAD	uniAD1C
332	Hangul	rAD	uniAD20
333	Hangul	rAD	uniAD22
334	Hangul	rAD	uniAD29
335	Hangul	rAD	uniAD2C
336	Hangul	rAD	uniAD2D
337	Hangul	rAD	uniAD34
338	Hangul	rAD	uniAD35
339	Hangul	rAD	uniAD38
340	Hangul	rAD	uniAD3C
341	Hangul	rAD	uniAD44
342	Hangul	rAD	uniAD45
343	Hangul	rAD	uniAD47
344	Hangul	rAD	uniAD49
345	Hangul	rAD	uniAD50
346	Hangul	rAD	uniAD54
347	Hangul	rAD	uniAD58
348	Hangul	rAD	uniAD60
349	Hangul	rAD	uniAD61
350	Hangul	rAD	uniAD63
351	Hangul	rAD	uniAD65
352	Hangul	rAD	uniAD6C
353	Hangul	rAD	uniAD6D
354	Hangul	rAD	uniAD70
355	Hangul	rAD	uniAD73
356	Hangul	rAD	uniAD74
357	Hangul	rAD	uniAD75
358	Hangul	rAD	uniAD76
359	Hangul	rAD	uniAD7B
360	Hangul	rAD	uniAD7C
361	Hangul	rAD	uniAD7D
362	Hangul	rAD	uniAD7F
363	Hangul	rAD	uniAD81
364	Hangul	rAD	uniAD82
365	Hangul	rAD	uniAD83
366	Hangul	rAD	uniAD88
367	Hangul	rAD	uniAD89
368	Hangul	rAD	uniAD8C
369	Hangul	rAD	uniAD90
370	Hangul	rAD	uniAD9C
371	Hangul	rAD	uniAD9D
372	Hangul	rAD	uniADA4
373	Hangul	rAD	uniADB7
374	Hangul	rAD	uniADB8
375	Hangul	rAD	uniADC0
376	Hangul	rAD	uniADC1
377	Hangul	rAD	uniADC4
378	Hangul	rAD	uniADC8
379	Hangul	rAD	uniADD0
380	Hangul	rAD	uniADD1
381	Hangul	rAD	uniADD3
382	Hangul	rAD	uniADD5
383	Hangul	rAD	uniADDC
384	Hangul	rAD	uniADE0
385	Hangul	rAD	uniADE4
386	Hangul	rAD	uniADEC
387	Hangul	rAD	uniADED
388	Hangul	rAD	uniADF8
389	Hangul	rAD	uniADF9
390	Hangul	rAD	uniADFC
391	Hangul	rAD	uniADFF
392	Hangul	rAE	uniAE00
393	Hangul	rAE	uniAE01
394	Hangul	rAE	uniAE02
395	Hangul	rAE	uniAE07
396	Hangul	rAE	uniAE08
397	Hangul	rAE	uniAE09
398	Hangul	rAE	uniAE0B
