# Registered KRName IVSes & 270 Standardized Variants (Unicode 6.3)
# Version 2018-07-19
# Prepared by Dr. Ken Lunde (lunde@adobe.com), Adobe Systems Incorporated
# 36 KRName IVSes
537F E0108; KRName; CID+14670
537F E0109; KRName; CID+22462
5795 E0101; KRName; CID+19399
5795 E0102; KRName; CID+22463
57CE E0104; KRName; CID+14881
57CE E0105; KRName; CID+22464
5ABA E0104; KRName; CID+22465
5ABA E0105; KRName; CID+19547
6210 E0105; KRName; CID+15566
6210 E0106; KRName; CID+22466
665F E0106; KRName; CID+22467
665F E0107; KRName; CID+15863
6674 E0104; KRName; CID+15874
6674 E0105; KRName; CID+22468
695E E0104; KRName; CID+22469
695E E0105; KRName; CID+16084
6D77 E0104; KRName; CID+16328
6D77 E0105; KRName; CID+22470
76DB E0104; KRName; CID+16947
76DB E0105; KRName; CID+22471
8056 E0105; KRName; CID+17447
8056 E0106; KRName; CID+22472
83BD E0108; KRName; CID+22473
83BD E0109; KRName; CID+17664
865C E0104; KRName; CID+17796
865C E0105; KRName; CID+22474
8941 E0104; KRName; CID+22475
8941 E0105; KRName; CID+17911
8AA0 E0104; KRName; CID+17986
8AA0 E0105; KRName; CID+22476
8ACB E0104; KRName; CID+18003
8ACB E0105; KRName; CID+22477
927C E0103; KRName; CID+21858
927C E0104; KRName; CID+22478
9F9C E0107; KRName; CID+22479
9F9C E0108; KRName; CID+18857
# 270 Standardized Variants (Unicode 6.3)
8C48 FE00; Standardized_Variants; CID+18067
66F4 FE00; Standardized_Variants; CID+15913
8ECA FE00; Standardized_Variants; CID+18186
8CC8 FE00; Standardized_Variants; CID+18108
6ED1 FE00; Standardized_Variants; CID+16431
4E32 FE00; Standardized_Variants; CID+14255
53E5 FE00; Standardized_Variants; CID+14695
9F9C FE00; Standardized_Variants; CID+18857
9F9C FE01; Standardized_Variants; CID+18857
5951 FE00; Standardized_Variants; CID+14981
91D1 FE00; Standardized_Variants; CID+18386
5587 FE00; Standardized_Variants; CID+14788
5948 FE00; Standardized_Variants; CID+14976
61F6 FE00; Standardized_Variants; CID+15553
7669 FE00; Standardized_Variants; CID+16922
7F85 FE00; Standardized_Variants; CID+17397
863F FE00; Standardized_Variants; CID+17790
87BA FE00; Standardized_Variants; CID+17837
88F8 FE00; Standardized_Variants; CID+17898
908F FE00; Standardized_Variants; CID+18321
6A02 FE00; Standardized_Variants; CID+16117
6D1B FE00; Standardized_Variants; CID+16303
70D9 FE00; Standardized_Variants; CID+16560
73DE FE00; Standardized_Variants; CID+16732
843D FE00; Standardized_Variants; CID+17692
916A FE00; Standardized_Variants; CID+18359
99F1 FE00; Standardized_Variants; CID+18721
4E82 FE00; Standardized_Variants; CID+14278
5375 FE00; Standardized_Variants; CID+14667
6B04 FE00; Standardized_Variants; CID+16160
721B FE00; Standardized_Variants; CID+16630
862D FE00; Standardized_Variants; CID+17789
9E1E FE00; Standardized_Variants; CID+18812
5D50 FE00; Standardized_Variants; CID+15228
6FEB FE00; Standardized_Variants; CID+16502
85CD FE00; Standardized_Variants; CID+17768
8964 FE00; Standardized_Variants; CID+17914
62C9 FE00; Standardized_Variants; CID+15615
81D8 FE00; Standardized_Variants; CID+17543
881F FE00; Standardized_Variants; CID+17847
5ECA FE00; Standardized_Variants; CID+15320
6717 FE00; Standardized_Variants; CID+15929
6D6A FE00; Standardized_Variants; CID+16324
72FC FE00; Standardized_Variants; CID+16677
90CE FE00; Standardized_Variants; CID+21792
4F86 FE00; Standardized_Variants; CID+14368
51B7 FE00; Standardized_Variants; CID+14527
52DE FE00; Standardized_Variants; CID+14615
64C4 FE00; Standardized_Variants; CID+15724
6AD3 FE00; Standardized_Variants; CID+16155
7210 FE00; Standardized_Variants; CID+16629
76E7 FE00; Standardized_Variants; CID+16954
8001 FE00; Standardized_Variants; CID+17429
8606 FE00; Standardized_Variants; CID+17783
865C FE00; Standardized_Variants; CID+17796
8DEF FE00; Standardized_Variants; CID+18158
9732 FE00; Standardized_Variants; CID+18600
9B6F FE00; Standardized_Variants; CID+18765
9DFA FE00; Standardized_Variants; CID+18810
788C FE00; Standardized_Variants; CID+17022
797F FE00; Standardized_Variants; CID+17070
7DA0 FE00; Standardized_Variants; CID+17311
83C9 FE00; Standardized_Variants; CID+17667
9304 FE00; Standardized_Variants; CID+18433
9E7F FE00; Standardized_Variants; CID+18816
8AD6 FE00; Standardized_Variants; CID+18007
58DF FE00; Standardized_Variants; CID+14948
5F04 FE00; Standardized_Variants; CID+15337
7C60 FE00; Standardized_Variants; CID+17232
807E FE00; Standardized_Variants; CID+17457
7262 FE00; Standardized_Variants; CID+16654
78CA FE00; Standardized_Variants; CID+17035
8CC2 FE00; Standardized_Variants; CID+18104
96F7 FE00; Standardized_Variants; CID+18586
58D8 FE00; Standardized_Variants; CID+14945
5C62 FE00; Standardized_Variants; CID+15186
6A13 FE00; Standardized_Variants; CID+16120
6DDA FE00; Standardized_Variants; CID+16356
6F0F FE00; Standardized_Variants; CID+16442
7D2F FE00; Standardized_Variants; CID+17282
7E37 FE00; Standardized_Variants; CID+17355
964B FE00; Standardized_Variants; CID+18522
52D2 FE00; Standardized_Variants; CID+14608
808B FE00; Standardized_Variants; CID+17464
51DC FE00; Standardized_Variants; CID+14535
51CC FE00; Standardized_Variants; CID+14533
7A1C FE00; Standardized_Variants; CID+17110
7DBE FE00; Standardized_Variants; CID+17323
