# Modern Hangul Syllables: 11,172
# Version 2018-07-19
# Prepared by Dr. Ken Lunde (lunde@adobe.com), Adobe Systems Incorporated
# Based on data from Jaemin Chung
#
# Field 1: Unicode Scalar Value
# Field 2: Character (UTF-8)
# Field 3: Adobe-KR-9 CID
# Field 4: Adobe-KR-9 Supplement
# Field 5: KS X 1001 Row-Cell Value
# Field 6: KS X 1002 Row-Cell Value
# Field 7: KPS 9566 Row-Cell Value
# Field 8: GB/T 12052 Row-Cell Value
#
U+AC00	가	221	0	16-01	*	16-01	16-03
U+AC01	각	222	0	16-02	*	16-02	16-04
U+AC02	갂	3059	1	*	16-01	*	*
U+AC03	갃	3060	1	*	*	*	38-01
U+AC04	간	223	0	16-03	*	16-03	16-05
U+AC05	갅	4637	2	*	*	*	*
U+AC06	갆	4638	2	*	*	*	*
U+AC07	갇	224	0	16-04	*	16-04	16-06
U+AC08	갈	225	0	16-05	*	16-05	16-07
U+AC09	갉	226	0	16-06	*	16-06	16-08
U+AC0A	갊	227	0	16-07	*	16-07	16-09
U+AC0B	갋	228	0	*	16-02	*	38-02
U+AC0C	갌	3061	1	*	16-03	*	38-03
U+AC0D	갍	4639	2	*	*	*	*
U+AC0E	갎	4640	2	*	*	*	*
U+AC0F	갏	4641	2	*	*	*	*
U+AC10	감	229	0	16-08	*	16-08	16-10
U+AC11	갑	230	0	16-09	*	16-09	16-11
U+AC12	값	231	0	16-10	*	16-10	16-12
U+AC13	갓	232	0	16-11	*	16-11	16-13
U+AC14	갔	233	0	16-12	*	16-18	16-20
U+AC15	강	234	0	16-13	*	16-12	16-14
U+AC16	갖	235	0	16-14	*	16-13	16-15
U+AC17	갗	236	0	16-15	*	16-14	16-16
U+AC18	갘	4642	2	*	*	*	*
U+AC19	같	237	0	16-16	*	16-15	16-17
U+AC1A	갚	238	0	16-17	*	16-16	16-18
U+AC1B	갛	239	0	16-18	*	16-17	16-19
U+AC1C	개	240	0	16-19	*	17-22	17-11
U+AC1D	객	241	0	16-20	*	17-23	17-12
U+AC1E	갞	4643	2	*	*	*	*
U+AC1F	갟	4644	2	*	*	*	*
U+AC20	갠	242	0	16-21	*	17-24	17-13
U+AC21	갡	4645	2	*	*	*	*
U+AC22	갢	3062	1	*	16-04	*	38-40
U+AC23	갣	243	0	*	16-05	*	38-41
U+AC24	갤	244	0	16-22	*	17-25	17-14
U+AC25	갥	4646	2	*	*	*	*
U+AC26	갦	4647	2	*	*	*	*
U+AC27	갧	4648	2	*	*	*	*
U+AC28	갨	4649	2	*	*	*	*
U+AC29	갩	4650	2	*	*	*	*
U+AC2A	갪	4651	2	*	*	*	*
U+AC2B	갫	4652	2	*	*	*	*
U+AC2C	갬	245	0	16-23	*	17-26	17-15
U+AC2D	갭	246	0	16-24	*	17-27	17-16
U+AC2E	갮	4653	2	*	*	*	*
U+AC2F	갯	247	0	16-25	*	17-28	17-17
U+AC30	갰	248	0	16-26	*	17-30	38-42
U+AC31	갱	249	0	16-27	*	17-29	17-18
U+AC32	갲	3063	1	*	16-06	*	*
U+AC33	갳	4654	2	*	*	*	*
U+AC34	갴	4655	2	*	*	*	*
U+AC35	갵	3064	1	*	16-07	*	*
U+AC36	갶	3065	1	*	16-08	*	*
U+AC37	갷	4656	2	*	*	*	*
U+AC38	갸	250	0	16-28	*	16-19	16-21
U+AC39	갹	251	0	16-29	*	16-20	38-04
U+AC3A	갺	4657	2	*	*	*	*
U+AC3B	갻	4658	2	*	*	*	*
U+AC3C	갼	252	0	16-30	*	16-21	*
U+AC3D	갽	4659	2	*	*	*	*
U+AC3E	갾	4660	2	*	*	*	*
U+AC3F	갿	3066	1	*	16-09	*	38-05
U+AC40	걀	253	0	16-31	*	16-22	16-22
U+AC41	걁	3067	1	*	16-10	*	*
U+AC42	걂	4661	2	*	*	*	*
U+AC43	걃	4662	2	*	*	*	*
U+AC44	걄	4663	2	*	*	*	*
U+AC45	걅	4664	2	*	*	*	*
U+AC46	걆	4665	2	*	*	*	*
U+AC47	걇	3068	1	*	16-11	*	*
U+AC48	걈	3069	1	*	16-12	16-23	38-06
U+AC49	걉	3070	1	*	16-13	*	*
U+AC4A	걊	4666	2	*	*	*	*
U+AC4B	걋	254	0	16-32	*	16-24	38-07
U+AC4C	걌	3071	1	*	16-14	*	*
U+AC4D	걍	255	0	16-33	*	16-25	38-08
U+AC4E	걎	4667	2	*	*	*	*
U+AC4F	걏	4668	2	*	*	*	*
U+AC50	걐	4669	2	*	*	*	*
U+AC51	걑	4670	2	*	*	*	*
U+AC52	걒	4671	2	*	*	*	*
U+AC53	걓	4672	2	*	*	*	*
U+AC54	걔	256	0	16-34	*	17-31	17-19
U+AC55	걕	4673	2	*	*	*	*
U+AC56	걖	4674	2	*	*	*	*
U+AC57	걗	4675	2	*	*	*	*
U+AC58	걘	257	0	16-35	*	17-32	17-20
U+AC59	걙	4676	2	*	*	*	*
U+AC5A	걚	4677	2	*	*	*	*
U+AC5B	걛	4678	2	*	*	*	*
U+AC5C	걜	258	0	16-36	*	17-33	17-21
U+AC5D	걝	4679	2	*	*	*	*
U+AC5E	걞	4680	2	*	*	*	*
U+AC5F	걟	4681	2	*	*	*	*
U+AC60	걠	4682	2	*	*	*	*
U+AC61	걡	4683	2	*	*	*	*
U+AC62	걢	4684	2	*	*	*	*
U+AC63	걣	4685	2	*	*	*	*
U+AC64	걤	3072	1	*	16-15	*	38-43
U+AC65	걥	259	0	*	16-16	*	38-44
U+AC66	걦	4686	2	*	*	*	*
U+AC67	걧	4687	2	*	*	*	*
U+AC68	걨	4688	2	*	*	*	*
U+AC69	걩	4689	2	*	*	*	*
U+AC6A	걪	4690	2	*	*	*	*
U+AC6B	걫	4691	2	*	*	*	*
U+AC6C	걬	4692	2	*	*	*	*
U+AC6D	걭	4693	2	*	*	*	*
U+AC6E	걮	4694	2	*	*	*	*
U+AC6F	걯	4695	2	*	*	*	*
U+AC70	거	260	0	16-37	*	16-26	16-23
U+AC71	걱	261	0	16-38	*	16-27	16-24
U+AC72	걲	4696	2	*	*	*	*
U+AC73	걳	3073	1	*	16-17	*	*
U+AC74	건	262	0	16-39	*	16-28	16-25
U+AC75	걵	3074	1	*	16-18	*	*
U+AC76	걶	4697	2	*	*	*	*
U+AC77	걷	263	0	16-40	*	16-29	16-26
U+AC78	걸	264	0	16-41	*	16-30	16-27
U+AC79	걹	3075	1	*	16-19	16-31	*
U+AC7A	걺	265	0	16-42	*	16-32	16-28
U+AC7B	걻	4698	2	*	*	*	*
U+AC7C	걼	4699	2	*	*	*	*
U+AC7D	걽	4700	2	*	*	*	*
U+AC7E	걾	4701	2	*	*	*	*
U+AC7F	걿	4702	2	*	*	*	*
U+AC80	검	266	0	16-43	*	16-33	16-29
U+AC81	겁	267	0	16-44	*	16-34	16-30
U+AC82	겂	268	0	*	*	*	*
U+AC83	것	269	0	16-45	*	16-35	16-31
U+AC84	겄	270	0	16-46	*	16-41	38-10
U+AC85	겅	271	0	16-47	*	16-36	16-32
U+AC86	겆	272	0	16-48	*	16-37	16-33
U+AC87	겇	3076	1	*	16-20	*	38-09
U+AC88	겈	4703	2	*	*	*	*
U+AC89	겉	273	0	16-49	*	16-38	16-34
U+AC8A	겊	274	0	16-50	*	16-39	16-35
U+AC8B	겋	275	0	16-51	*	16-40	16-36
U+AC8C	게	276	0	16-52	*	17-34	17-22
U+AC8D	겍	277	0	*	16-21	17-35	*
U+AC8E	겎	4704	2	*	*	*	*
U+AC8F	겏	4705	2	*	*	*	*
U+AC90	겐	278	0	16-53	*	17-36	17-23
U+AC91	겑	4706	2	*	*	*	*
U+AC92	겒	4707	2	*	*	*	*
U+AC93	겓	3077	1	*	16-22	*	38-45
U+AC94	겔	279	0	16-54	*	17-37	17-24
U+AC95	겕	4708	2	*	*	*	*
U+AC96	겖	4709	2	*	*	*	*
U+AC97	겗	4710	2	*	*	*	*
U+AC98	겘	4711	2	*	*	*	*
U+AC99	겙	4712	2	*	*	*	*
U+AC9A	겚	4713	2	*	*	*	*
U+AC9B	겛	4714	2	*	*	*	*
U+AC9C	겜	280	0	16-55	*	17-38	38-46
U+AC9D	겝	281	0	16-56	*	17-39	17-25
U+AC9E	겞	4715	2	*	*	*	*
U+AC9F	겟	282	0	16-57	*	17-40	17-26
U+ACA0	겠	283	0	16-58	*	17-42	17-28
U+ACA1	겡	284	0	16-59	*	17-41	17-27
U+ACA2	겢	4716	2	*	*	*	*
U+ACA3	겣	4717	2	*	*	*	*
U+ACA4	겤	4718	2	*	*	*	*
U+ACA5	겥	3078	1	*	16-23	*	38-47
U+ACA6	겦	4719	2	*	*	*	*
U+ACA7	겧	3079	1	*	16-24	*	*
U+ACA8	겨	285	0	16-60	*	16-42	16-37
U+ACA9	격	286	0	16-61	*	16-43	16-38
U+ACAA	겪	287	0	16-62	*	16-52	16-47
U+ACAB	겫	4720	2	*	*	*	*
U+ACAC	견	288	0	16-63	*	16-44	16-39
U+ACAD	겭	4721	2	*	*	*	*
U+ACAE	겮	4722	2	*	*	*	*
U+ACAF	겯	289	0	16-64	*	16-45	16-40
U+ACB0	결	290	0	16-65	*	16-46	16-41
U+ACB1	겱	3080	1	*	16-25	*	38-11
U+ACB2	겲	4723	2	*	*	*	*
U+ACB3	겳	4724	2	*	*	*	*
U+ACB4	겴	3081	1	*	16-26	*	38-12
U+ACB5	겵	4725	2	*	*	*	*
U+ACB6	겶	4726	2	*	*	*	*
U+ACB7	겷	291	0	*	16-27	*	*
U+ACB8	겸	292	0	16-66	*	16-47	16-42
U+ACB9	겹	293	0	16-67	*	16-48	16-43
U+ACBA	겺	4727	2	*	*	*	*
U+ACBB	겻	294	0	16-68	*	16-49	16-44
U+ACBC	겼	295	0	16-69	*	16-53	16-48
U+ACBD	경	296	0	16-70	*	16-50	16-45
U+ACBE	겾	3082	1	*	16-28	*	38-13
U+ACBF	겿	297	0	*	16-29	*	38-14
U+ACC0	곀	4728	2	*	*	*	*
U+ACC1	곁	298	0	16-71	*	16-51	16-46
U+ACC2	곂	3083	1	*	16-30	*	*
U+ACC3	곃	4729	2	*	*	*	*
U+ACC4	계	299	0	16-72	*	17-43	17-29
U+ACC5	곅	3084	1	*	16-31	*	*
U+ACC6	곆	4730	2	*	*	*	*
U+ACC7	곇	4731	2	*	*	*	*
U+ACC8	곈	300	0	16-73	*	17-44	38-48
U+ACC9	곉	4732	2	*	*	*	*
U+ACCA	곊	4733	2	*	*	*	*
U+ACCB	곋	3085	1	*	16-32	*	38-49
U+ACCC	곌	301	0	16-74	*	17-45	38-50
U+ACCD	곍	4734	2	*	*	*	*
U+ACCE	곎	4735	2	*	*	*	*
U+ACCF	곏	4736	2	*	*	*	*
U+ACD0	곐	4737	2	*	*	*	*
U+ACD1	곑	4738	2	*	*	*	*
U+ACD2	곒	4739	2	*	*	*	*
U+ACD3	곓	4740	2	*	*	*	*
U+ACD4	곔	3086	1	*	16-33	*	38-51
U+ACD5	곕	302	0	16-75	*	17-46	38-52
U+ACD6	곖	4741	2	*	*	*	*
U+ACD7	곗	303	0	16-76	*	17-47	38-53
U+ACD8	곘	304	0	*	16-34	*	*
U+ACD9	곙	3087	1	*	16-35	*	38-54
U+ACDA	곚	4742	2	*	*	*	*
U+ACDB	곛	4743	2	*	*	*	*
U+ACDC	곜	4744	2	*	*	*	*
U+ACDD	곝	4745	2	*	*	*	*
U+ACDE	곞	4746	2	*	*	*	*
U+ACDF	곟	4747	2	*	*	*	*
U+ACE0	고	305	0	16-77	*	16-54	16-49
U+ACE1	곡	306	0	16-78	*	16-55	16-50
U+ACE2	곢	4748	2	*	*	*	*
U+ACE3	곣	4749	2	*	*	*	*
U+ACE4	곤	307	0	16-79	*	16-56	16-51
U+ACE5	곥	4750	2	*	*	*	*
U+ACE6	곦	4751	2	*	*	*	*
U+ACE7	곧	308	0	16-80	*	16-57	16-52
U+ACE8	골	309	0	16-81	*	16-58	16-53
U+ACE9	곩	3088	1	*	16-36	*	38-15
U+ACEA	곪	310	0	16-82	*	16-59	16-54
U+ACEB	곫	3089	1	*	16-37	*	*
U+ACEC	곬	311	0	16-83	*	16-60	16-55
U+ACED	곭	4752	2	*	*	*	*
U+ACEE	곮	3090	1	*	16-38	*	*
U+ACEF	곯	312	0	16-84	*	16-61	16-56
U+ACF0	곰	313	0	16-85	*	16-62	16-57
U+ACF1	곱	314	0	16-86	*	16-63	16-58
U+ACF2	곲	4753	2	*	*	*	*
U+ACF3	곳	315	0	16-87	*	16-64	16-59
U+ACF4	곴	4754	2	*	*	*	*
U+ACF5	공	316	0	16-88	*	16-65	16-60
U+ACF6	곶	317	0	16-89	*	16-66	16-61
U+ACF7	곷	3091	1	*	16-39	*	38-16
U+ACF8	곸	4755	2	*	*	*	*
U+ACF9	곹	318	0	*	16-40	*	*
U+ACFA	곺	3092	1	*	16-41	16-67	16-62
U+ACFB	곻	3093	1	*	16-42	*	*
U+ACFC	과	319	0	16-90	*	17-65	17-45
U+ACFD	곽	320	0	16-91	*	17-66	17-46
U+ACFE	곾	4756	2	*	*	*	*
U+ACFF	곿	4757	2	*	*	*	*
U+AD00	관	321	0	16-92	*	17-67	17-47
U+AD01	괁	4758	2	*	*	*	*
U+AD02	괂	4759	2	*	*	*	*
U+AD03	괃	3094	1	*	16-43	17-68	38-64
U+AD04	괄	322	0	16-93	*	17-69	17-48
U+AD05	괅	4760	2	*	*	*	*
U+AD06	괆	323	0	16-94	*	17-70	17-49
U+AD07	괇	4761	2	*	*	*	*
U+AD08	괈	4762	2	*	*	*	*
U+AD09	괉	4763	2	*	*	*	*
U+AD0A	괊	4764	2	*	*	*	*
U+AD0B	괋	4765	2	*	*	*	*
U+AD0C	괌	324	0	17-01	*	17-71	17-50
